url,github,name,title,location,hourly_rate,skills,description,skills_extracted_ordinal,JavaScript_exp_ordinal,PHP_exp_ordinal,Python_exp_ordinal,github_username,username,JavaScript_loc,JavaScript_total_issues,JavaScript_high_issues,JavaScript_medium_issues,JavaScript_low_issues,JavaScript_reliability_issues,JavaScript_maintainability_issues,JavaScript_issue_density,Python_loc,Python_total_issues,Python_high_issues,Python_medium_issues,Python_low_issues,Python_reliability_issues,Python_maintainability_issues,Python_issue_density,total_loc,total_issues,PHP_loc,PHP_total_issues,PHP_high_issues,PHP_medium_issues,PHP_low_issues,PHP_reliability_issues,PHP_maintainability_issues,PHP_issue_density
https://www.workana.com/freelancer/5fdc788bee15956a3f217fa436718748,https://github.com/Randomizando3,Dev 2,Full Stack Developer,Brasil,BRL 40.00,"JavaScript (3 a 5 anos), PHP (5 a 10 anos), MySQL (5 a 10 anos), HTML (+10 anos), C++ (3 a 5 anos), Design Gráfico (5 a 10 anos), Node.js (3 a 5 anos)","""""""Sobre mim   Olá, sou o [REDACTED], Desenvolvedor de Sistemas da Informação Sênior. Trabalho principalmente na criação de aplicações tanto para Desktop, Web ou Android/Ios em PHP, Javascript e C++. Também desenvolvo trabalhos relacionados a criação de identidade visual para empresas. Executo o máximo em excelência no trabalho que estou e espero ser capaz de fazer o mesmo por quem contrata meu serviço. Espero seu contato logo, Até breve!  colapsar""""""","{'JavaScript': '3-5', 'PHP': '>5', 'SQL': '>5', 'HTML': '>5', 'C++': '3-5', 'Design Gráfico': '>5', 'Node.js': '3-5'}",3-5,>5,No experience,Randomizando3,Randomizando3,616.0,2.0,0.0,0.0,2.0,0.0,2.0,3.246753246753247,,,,,,,,,616,2,,,,,,,,
https://www.workana.com/freelancer/4b2105a01d04fe4c80cde0ddcf996064,https://github.com/cleiltonoliveira,Dev 4,Full Stack Developer,Brasil,BRL 30.00,"MySQL (1 a 3 anos), JavaScript (1 a 3 anos), Java (1 a 3 anos), HTML (3 a 5 anos), Spring Framework (1 a 3 anos), Node.js (1 a 3 anos), Typescript (1 a 3 anos)","""""""Sobre mim   Como profissional eu busco a cada projeto oferecer o meu melhor, pensando em soluções que melhor atendem ao problema proposto, bem como, trabalhar exercendo princípios de metodologias ágeis, Clean Code e Clean Architecture. Sou apaixonado por criar soluções inovadoras e escaláveis que geram um impacto positivo para os usuários. Sempre em busca de desafios e oportunidades para aplicar e aprimorar minhas habilidades técnicas e pessoais. Atualmente, estou estudando e trabalhando principalmente com tecnologias da stack mobile e backend, como Android, Kotlin, Java, Spring Boot, Node.js, GCP e Firebase  Acesse meu perfil profissional em [REDACTED] Meus projetos mobile estão publicados na Play Store: https://play.google.com/store/apps/developer?id=Cleios+Apps  colapsar""""""","{'SQL': '<3', 'JavaScript': '<3', 'Java': '<3', 'HTML': '3-5', 'Spring Framework': '<3', 'Node.js': '<3', 'Typescript': '<3'}",<3,No experience,No experience,cleiltonoliveira,cleiltonoliveira,2442.0,13.0,7.0,1.0,5.0,0.0,13.0,5.323505323505323,,,,,,,,,2442,13,,,,,,,,
https://www.workana.com/freelancer/7ce986761da0dceb40cbfebd486b6542,https://github.com/iredhd,Dev 5,Software Developer,Brasil,BRL 90.00,"JavaScript (5 a 10 anos), CSS (5 a 10 anos), HTML (5 a 10 anos)","""""""Sobre mim   I'm 26 years old.  I'm in love with technology.  I work for almost 8 years as a mobile and web developer with various languages ​​and technologies. https://github.com/iredhd  colapsar""""""","{'JavaScript': '>5', 'CSS': '>5', 'HTML': '>5'}",>5,No experience,No experience,iredhd,iredhd,5135.0,7.0,0.0,6.0,1.0,0.0,7.0,1.3631937682570594,,,,,,,,,5135,7,,,,,,,,
https://www.workana.com/freelancer/5c7cd7186f886b501b0ecbcf5345620b,https://github.com/Bubex,Dev 6,Web Developer,Brasil,BRL 100.00,"JavaScript (5 a 10 anos), PHP (5 a 10 anos), Laravel (5 a 10 anos), React Native (3 a 5 anos), WordPress (3 a 5 anos), Web Design (5 a 10 anos), Design de App Mobile (3 a 5 anos)","""""""Sobre mim   Resolvo problemas usando tecnologia.""""""","{'JavaScript': '>5', 'PHP': '>5', 'Laravel': '>5', 'React Native': '3-5', 'WordPress': '3-5', 'Web Design': '>5', 'Design de App Mobile': '3-5'}",>5,>5,No experience,Bubex,Bubex,5627.0,108.0,2.0,74.0,32.0,69.0,80.0,19.193175759729872,,,,,,,,,5627,108,,,,,,,,
https://www.workana.com/freelancer/feedf7cff43c56277d872154620ffac7,https://github.com/casjunior93,Dev 7,Desenvolvedor Web,Brasil,BRL 30.00,"WordPress (3 a 5 anos), PHP (5 a 10 anos), Responsive Web Design (5 a 10 anos), HTML5 (5 a 10 anos), Desenvolvimento Web (5 a 10 anos), Tema Wordpress (3 a 5 anos)","""""""Sobre mim   Sou Desenvolvedor Web e estudante de Engenharia de Computação na Universidade Virtual do Estado de São Paulo.  Habilidades em Desenvolvimento Web com Wordpress.""""""","{'WordPress': '3-5', 'PHP': '>5', 'Responsive Web Design': '>5', 'HTML': '>5', 'Desenvolvimento Web': '>5', 'Tema Wordpress': '3-5'}",No experience,>5,No experience,casjunior93,casjunior93,7099.0,538.0,377.0,139.0,22.0,22.0,516.0,75.78532187632061,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16511,1010,9366.0,472.0,115.0,140.0,217.0,33.0,443.0,50.395045910740976
https://www.workana.com/freelancer/b67fc4973a8f22e3509acf984a086b61,https://github.com/Elkarloz,Dev 8,Full Stack Developer,Colômbia,USD 7.00,"MySQL (1 a 3 anos), JavaScript (1 a 3 anos), Node.js (1 a 3 anos), React.js (1 a 3 anos), React Native (1 a 3 anos)","""""""Sobre mim   Soy desarrollador web full stack desde el frontend, backend y base de datos tambien trabajo con aplicaciones moviles con la tecnología de react native. Puede revisar proyectos en los que he trabajado de forma local en mi github: https://github.com/Elkarloz O puede revisar proyectos en los que he trabajado de forma publica:  colapsar""""""","{'SQL': '<3', 'JavaScript': '<3', 'Node.js': '<3', 'React.js': '<3', 'React Native': '<3'}",<3,No experience,No experience,Elkarloz,Elkarloz,1734.0,82.0,7.0,44.0,31.0,38.0,76.0,47.28950403690888,,,,,,,,,1734,82,,,,,,,,
https://www.workana.com/freelancer/e246728b944e2b84b1ee6fa89a201d73,https://github.com/Caue-Garaude,Dev 9,Desenvolvedor Web,Brasil,BRL 20.00,"HTML (1 ano), CSS (1 ano), JavaScript (1 ano)","""""""Sobre mim   Ingressei na faculdade de engenharia de software na FIAP(faculdade de informatica e administraçao paulista) em fevereiro de 2024, porém realizei cursos da Alura+, onde aprendi sobre: CSS, HTML, JavaScript, Bootstrap e git.  Ja realizei alguns projetos pessoais, todos estão no meu GitHub. https://github.com/Caue-Garaude  colapsar""""""","{'HTML': '<3', 'CSS': '<3', 'JavaScript': '<3'}",<3,No experience,No experience,Caue-Garaude,Caue-Garaude,370.0,3.0,0.0,2.0,1.0,0.0,3.0,8.108108108108109,,,,,,,,,370,3,,,,,,,,
https://www.workana.com/freelancer/93b653a4f8c27d6b2b8097ab86e31818,https://github.com/Daniel-Schemberger,Dev 10,Data Scientist,Brasil,BRL 35.00,"Python (3 a 5 anos), Machine Learning (1 a 3 anos), Estatística (3 a 5 anos)","""""""Sobre mim   Cientista de Dados pela EBAC , graduado em Física pela UEPG.  Profissional com perfil analítico e data driven. Possuo experiências em pesquisa, análise de dados, programação, SQL, Machine Learning e modelagem estatística.  Desenvolvimento de projetos de ciência de dados, incluíndo etapas de extração, exploração, limpeza, visualização e análise de dados. Treino e comparação de modelos de machine learning supervisionado e não supervisionado, feature engineering, modelagem estatística, tunning de hiperparâmetros, validação de modelos e versionamento de códigos. Possuo experiência em projetos em grupo de pesquisa, storytelling e exposição de resultados.  Meus projetos mais recentes estão no meu portfolio: https://github.com/Daniel-Schemberger/Portfolio-DataScience  colapsar""""""","{'Python': '3-5', 'Machine Learning': '<3', 'Estatística': '3-5'}",No experience,No experience,3-5,Daniel-Schemberger,Daniel-Schemberger,,,,,,,,,753.0,20.0,10.0,10.0,0.0,0.0,20.0,26.56042496679947,753,20,,,,,,,,
https://www.workana.com/freelancer/e48932d3d8c3f2e419db4d6abe43bb5a,https://github.com/Lucas-caceres-w,Dev 16,Full Stack Developer,Argentina,USD 14.00,"MySQL (1 ano), PHP (1 ano), Web Design (1 a 3 anos), Next.js (1 a 3 anos)","""""""Sobre mim   Soy un Desarrollador web Fullstack con conocimientos en HTML, CSS, SASS, Bootstrap, React, Next js, PHP, Tailwind, Material UI y Nodejs Soy capaz de desarrollar paneles de administracion, E-commerce, Landing pages, etc... Mis trabajos pueden verse en: https://lucasdev.com.ar https://github.com/Lucas-caceres-w  colapsar""""""","{'SQL': '<3', 'PHP': '<3', 'Web Design': '<3', 'Next.js': '<3'}",No experience,<3,No experience,Lucas-caceres-w,Lucas-caceres-w,2283.0,500.0,461.0,26.0,13.0,0.0,500.0,219.01007446342533,,,,,,,,,2283,500,,,,,,,,
https://www.workana.com/freelancer/7e67a69a5dccb5d87fb474742fcabd10,https://github.com/Ghenriquer10,Dev 17,Front-end Developer,Brasil,BRL 20.00,"JavaScript (1 a 3 anos), React.js (1 ano), React Native (1 ano)","""""""Sobre mim   Desenvolvedor front end formado em análise e desenvolvimento de sistemas, tenho conhecimentos em Html, Css, Javascript, ReactJs (styled-components, hooks, context-api) e Next Js, além de estar me aprofundando no desenvolvimento back end com Node Js, Express, Prisma e PostgreSQL e em React Native em desenvolvimento mobile. Possuo projetos pessoais no meu Github, por onde matenho crescentemente a minha busca por experiênia. Github: https://github.com/Ghenriquer10  colapsar""""""","{'JavaScript': '<3', 'React.js': '<3', 'React Native': '<3'}",<3,No experience,No experience,Ghenriquer10,Ghenriquer10,3567.0,181.0,50.0,80.0,51.0,45.0,178.0,50.74292122231567,,,,,,,,,3567,181,,,,,,,,
