url;github;name;title;location;hourly_rate;skills;description
https://www.workana.com/freelancer/bae8fa5d192be3ecd7608c10d05ab276;https://github.com/WilkerFreelancer;Dev 1;Design Digital;Brasil;BRL 65.00;Adobe After Effects (1 ano), Adobe Premiere (1 ano), JavaScript (1 a 3 anos), Design Gráfico (1 ano), Adobe Illustrator (1 ano), CSS (1 a 3 anos), HTML5 (1 a 3 anos);"""""""Sobre mim   Olá! Meu nome é [REDACTED], tenho 19 anos e sou um apaixonado pelo mundo do freelancing desde 2020. Desde que iniciei minha jornada nesta área, meu objetivo tem sido sempre ajudar ao máximo, oferecendo soluções criativas e de alta qualidade para meus clientes. Com uma forte ética de trabalho e um desejo constante de aprender e crescer, estou sempre pronto para enfrentar novos desafios e colaborar em projetos que façam a diferença.  colapsar"""""""
https://www.workana.com/freelancer/5fdc788bee15956a3f217fa436718748;https://github.com/Randomizando3;Dev 2;Full Stack Developer;Brasil;BRL 40.00;JavaScript (3 a 5 anos), PHP (5 a 10 anos), MySQL (5 a 10 anos), HTML (+10 anos), C++ (3 a 5 anos), Design Gráfico (5 a 10 anos), Node.js (3 a 5 anos);"""""""Sobre mim   Olá, sou o [REDACTED], Desenvolvedor de Sistemas da Informação Sênior. Trabalho principalmente na criação de aplicações tanto para Desktop, Web ou Android/Ios em PHP, Javascript e C++. Também desenvolvo trabalhos relacionados a criação de identidade visual para empresas. Executo o máximo em excelência no trabalho que estou e espero ser capaz de fazer o mesmo por quem contrata meu serviço. Espero seu contato logo, Até breve!  colapsar"""""""
https://www.workana.com/freelancer/afbd2255a91e9d31811004cf7279a703;https://github.com/joaopa12;Dev 3;Editor de Imagens,Alteração de Ambiente e efeitos;Brasil;BRL 150.00;WordPress (1 ano), CSS (1 a 3 anos), SEO (1 a 3 anos), Lojas Virtuais (e-commerce) (1 a 3 anos), Design Gráfico (1 a 3 anos);"""""""Sobre mim   Desenvolvedor Web || Front-End"""""""
https://www.workana.com/freelancer/4b2105a01d04fe4c80cde0ddcf996064;https://github.com/cleiltonoliveira;Dev 4;Full Stack Developer;Brasil;BRL 30.00;MySQL (1 a 3 anos), JavaScript (1 a 3 anos), Java (1 a 3 anos), HTML (3 a 5 anos), Spring Framework (1 a 3 anos), Node.js (1 a 3 anos), Typescript (1 a 3 anos);"""""""Sobre mim   Como profissional eu busco a cada projeto oferecer o meu melhor, pensando em soluções que melhor atendem ao problema proposto, bem como, trabalhar exercendo princípios de metodologias ágeis, Clean Code e Clean Architecture. Sou apaixonado por criar soluções inovadoras e escaláveis que geram um impacto positivo para os usuários. Sempre em busca de desafios e oportunidades para aplicar e aprimorar minhas habilidades técnicas e pessoais. Atualmente, estou estudando e trabalhando principalmente com tecnologias da stack mobile e backend, como Android, Kotlin, Java, Spring Boot, Node.js, GCP e Firebase  Acesse meu perfil profissional em [REDACTED] Meus projetos mobile estão publicados na Play Store: https://play.google.com/store/apps/developer?id=Cleios+Apps  colapsar"""""""
https://www.workana.com/freelancer/7ce986761da0dceb40cbfebd486b6542;https://github.com/iredhd;Dev 5;Software Developer;Brasil;BRL 90.00;JavaScript (5 a 10 anos), CSS (5 a 10 anos), HTML (5 a 10 anos);"""""""Sobre mim   I'm 26 years old.  I'm in love with technology.  I work for almost 8 years as a mobile and web developer with various languages ​​and technologies. https://github.com/iredhd  colapsar"""""""
https://www.workana.com/freelancer/5c7cd7186f886b501b0ecbcf5345620b;https://github.com/Bubex;Dev 6;Web Developer;Brasil;BRL 100.00;JavaScript (5 a 10 anos), PHP (5 a 10 anos), Laravel (5 a 10 anos), React Native (3 a 5 anos), WordPress (3 a 5 anos), Web Design (5 a 10 anos), Design de App Mobile (3 a 5 anos);"""""""Sobre mim   Resolvo problemas usando tecnologia."""""""
https://www.workana.com/freelancer/feedf7cff43c56277d872154620ffac7;https://github.com/casjunior93;Dev 7;Desenvolvedor Web;Brasil;BRL 30.00;WordPress (3 a 5 anos), PHP (5 a 10 anos), Responsive Web Design (5 a 10 anos), HTML5 (5 a 10 anos), Desenvolvimento Web (5 a 10 anos), Tema Wordpress (3 a 5 anos);"""""""Sobre mim   Sou Desenvolvedor Web e estudante de Engenharia de Computação na Universidade Virtual do Estado de São Paulo.  Habilidades em Desenvolvimento Web com Wordpress."""""""
https://www.workana.com/freelancer/b67fc4973a8f22e3509acf984a086b61;https://github.com/Elkarloz;Dev 8;Full Stack Developer;Colômbia;USD 7.00;MySQL (1 a 3 anos), JavaScript (1 a 3 anos), Node.js (1 a 3 anos), React.js (1 a 3 anos), React Native (1 a 3 anos);"""""""Sobre mim   Soy desarrollador web full stack desde el frontend, backend y base de datos tambien trabajo con aplicaciones moviles con la tecnología de react native. Puede revisar proyectos en los que he trabajado de forma local en mi github: https://github.com/Elkarloz O puede revisar proyectos en los que he trabajado de forma publica:  colapsar"""""""
https://www.workana.com/freelancer/e246728b944e2b84b1ee6fa89a201d73;https://github.com/Caue-Garaude;Dev 9;Desenvolvedor Web;Brasil;BRL 20.00;HTML (1 ano), CSS (1 ano), JavaScript (1 ano);"""""""Sobre mim   Ingressei na faculdade de engenharia de software na FIAP(faculdade de informatica e administraçao paulista) em fevereiro de 2024, porém realizei cursos da Alura+, onde aprendi sobre: CSS, HTML, JavaScript, Bootstrap e git.  Ja realizei alguns projetos pessoais, todos estão no meu GitHub. https://github.com/Caue-Garaude  colapsar"""""""
https://www.workana.com/freelancer/93b653a4f8c27d6b2b8097ab86e31818;https://github.com/Daniel-Schemberger;Dev 10;Data Scientist;Brasil;BRL 35.00;Python (3 a 5 anos), Machine Learning (1 a 3 anos), Estatística (3 a 5 anos);"""""""Sobre mim   Cientista de Dados pela EBAC , graduado em Física pela UEPG.  Profissional com perfil analítico e data driven. Possuo experiências em pesquisa, análise de dados, programação, SQL, Machine Learning e modelagem estatística.  Desenvolvimento de projetos de ciência de dados, incluíndo etapas de extração, exploração, limpeza, visualização e análise de dados. Treino e comparação de modelos de machine learning supervisionado e não supervisionado, feature engineering, modelagem estatística, tunning de hiperparâmetros, validação de modelos e versionamento de códigos. Possuo experiência em projetos em grupo de pesquisa, storytelling e exposição de resultados.  Meus projetos mais recentes estão no meu portfolio: https://github.com/Daniel-Schemberger/Portfolio-DataScience  colapsar"""""""
https://www.workana.com/freelancer/5f8f72851cc932ef6b47a744964fb0e3;https://github.com/Vicjun22;Dev 11;Front-end Developer;Brasil;BRL 100.00;React.js (1 a 3 anos), HTML5 (1 a 3 anos), AngularJS (1 a 3 anos);"""""""Sobre mim   Sou desenvolvedor FullStack mais voltado atualmente na parte Front-end.  Segue meu GitHub para visualizar meus projetos: https://github.com/Vicjun22"""""""
https://www.workana.com/freelancer/eb6a5b3e208a2dd09d29bf4783fc068e;https://github.com/raquelms203;Dev 12;Software Developer;Brasil;BRL 100.00;Node.js (1 ano), React.js (1 a 3 anos), Flutter (1 a 3 anos);"""""""Sobre mim   I am a developer with 5 years experience in application and website development. I have a degree in Information Systems at Federal University of Ouro Preto and English B2. My main technologies are Flutter, React, Angular, Java Spring Boot, Node, PostgreSQL and mongoDB.  I worked in systems from different sectors such as loyalty points for gas stations, accounting, interactive card games through QR Code, self-service checkout and now I make a website to facilitate finances for freelances.  E-mail: [REDACTED] GitHub: https://github.com/raquelms203 LinkedIn:[REDACTED] YouTube: https://www.youtube.com/@raquelms203  -  Sou desenvolvedora a 5 anos com experiência em desenvolvimento de aplicativos e sites. Tenho graduação em Sistemas de Informação pela Universidade Federal de Ouro Preto. Minhas principais tecnologias são Flutter, React, Angular, Java Spring Boot, Node, PostgreSQL e mongoDB.  Atuei em sistemas de diversos setores como pontos de fidelidade para postos de gasolina, contabilidade,  jogo de cartas interativo através de QR Code, totem de autoatendimento e agora faço um site para facilitar as finanças para freelancers.  E-mail: [REDACTED] GitHub: https://github.com/raquelms203 LinkedIn:[REDACTED] YouTube:[REDACTED]  colapsar"""""""
https://www.workana.com/freelancer/ed4451f440d069c4c814f1866aa74e74;https://github.com/SchunckLeonardo;Dev 13;Full Stack Developer;Brasil;BRL 30.00;JavaScript (1 a 3 anos), React.js (1 a 3 anos), Node.js (1 a 3 anos), DotNet (1 a 3 anos), MySQL (1 a 3 anos);"""""""Sobre mim   Estudante de Engenharia de Software na FIAP. Me considero um desenvolvedor Fullstack em constante aprendizado.  Possuo experiência em Programação Dinâmica, API REST, API RESTful, Design de Banco de Dados e Metodologia Ágil.  Foco bastante em aprimorar minhas habilidades em desenvolvimento web.  Soft-Skills: Adaptabilidade, Comunicativo  Tech-Stacks: .NET 7, React.Js, Node.Js, TypeScript, SQL, MongoDB, Next.Js, JavaScript  LinkedIn:[REDACTED] Github: https://github.com/SchunckLeonardo  ------------------------------------------------------------------------------------------  Software Engineering Student at FIAP. I consider myself a full-stack developer in continuous learning.  I have experience in Dynamic Programming, REST API, RESTful API, Database Design, and Agile Methodology.  I am highly focused on improving my web development skills.  Soft Skills: Adaptability, Communication  Tech Stacks: .NET 7, React.Js, Node.Js, TypeScript, SQL, MongoDB, Next.Js, JavaScript  colapsar"""""""
